date,killer,time,map,kills,bloodpoints,salt,addon1,addon2,perk1,perk2,perk3,perk4,crossplay,platform,notes
2021-01-29,Pig,1156,,4,18958,0,Combat Straps,John's Medical File,Monitor,Whispers,Enduring,Brutal,1,PS4,
2021-01-29,Pig,1331,,1,16646,0,Combat Straps,John's Medical File,Monitor,Whispers,Enduring,BBQ,1,PS4,
2021-01-29,Pig,1350,,2,20405,1,Crate of Gears,Jigsaw's Sketch,Monitor,Whispers,Enduring,Bamboozle,1,PS4,
2021-01-29,Pig,1405,,4,29298,0,Crate of Gears,Jigsaw's Sketch,Monitor,Whispers,Enduring,Brutal,1,PS4,
2021-01-29,Pig,1600,,2,16855,1,Crate of Gears,Jigsaw's Sketch,Monitor,Whispers,Enduring,Brutal,0,PS4,
2021-01-29,Pig,1617,,3,14094,0,Jigsaw's Annotated Plan,Jigsaw's Sketch,Monitor,Whispers,Ruin,Undying,0,PS4,
2021-01-29,Pig,1638,,1,23414,0,Jigsaw's Annotated Plan,Jigsaw's Sketch,Monitor,Whispers,Ruin,Undying,1,PS4,
2021-01-29,Freddy,1652,,0,19952,0,Prototype Claws,Jump Rope,BBQ,Pop,Enduring,Spirit Fury,1,PS4,
2021-01-29,Freddy,1727,,4,29439,0,Prototype Claws,Jump Rope,BBQ,Pop,Enduring,Spirit Fury,0,PS4,
2021-01-29,Ghostface,2302,,3,23725,0,Chewed Pen,Olsen's Address Book,Whispers,Surge,Enduring,Brutal,0,PS4,
2021-01-29,Ghostface,2323,,4,32000,0,Chewed Pen,Driver's License,Whispers,Surge,Enduring,Brutal,0,PS4,
2021-01-29,Ghostface,2342,,2,27882,0,Chewed Pen,Victim's Detailed Routine,Whispers,Surge,Enduring,Brutal,0,PS4,
2021-01-29,Ghostface,2355,,4,25809,0,Chewed Pen,Olsen's Address Book,BBQ,Surge,Enduring,Brutal,0,PS4,
2021-01-30,Ghostface,11,,4,27641,0,Chewed Pen,Olsen's Address Book,BBQ,Surge,Enduring,Brutal,0,PS4,
2021-01-30,Ghostface,257,,1,22776,0,Walleyes Matchbook,Olsen's Address Book,Whispers,Surge,Bamboozle,Enduring,0,PS4,
2021-01-30,Ghostface,317,,0,25696,1,Walleyes Matchbook,Olsen's Address Book,Whispers,Surge,Bamboozle,Enduring,1,PS4,
2021-01-30,Ghostface,341,,4,28454,2,Chewed Pen,Olsen's Address Book,BBQ,Surge,Nurse,Sloppy,0,PS4,
2021-01-30,Ghostface,356,,4,26622,0,Chewed Pen,Olsen's Address Book,BBQ,Surge,Nurse,Sloppy,0,PS4,
2021-01-30,Ghostface,1728,,3,27737,0,Chewed Pen,Olsen's Address Book,BBQ,Surge,Oppression,Surveillance,0,PS4,
2021-01-31,Ghostface,124,,0,26012,0,Chewed Pen,Olsen's Address Book,BBQ,Surge,Nurse,Thanatophobia,0,PS4,
2021-01-31,Ghostface,140,,1,28660,0,Chewed Pen,Olsen's Address Book,BBQ,Surge,Enduring,Brutal,0,PS4,
2021-01-31,Ghostface,157,,2,19511,0,Chewed Pen,Olsen's Address Book,BBQ,Surge,Nurse,Sloppy,0,PS4,
2021-01-31,Ghostface,213,,2,23479,0,Chewed Pen,Olsen's Address Book,BBQ,Pop,Enduring,Spirit Fury,1,PS4,
2021-01-31,Freddy,314,,3,29102,0,Prototype Claws,Jump Rope,BBQ,Pop,Enduring,Spirit Fury,1,PS4,
2021-01-31,Freddy,329,,0,22744,0,Prototype Claws,Jump Rope,BBQ,Pop,Enduring,Spirit Fury,1,PS4,
2021-01-31,Freddy,341,,4,19486,0,Prototype Claws,Jump Rope,BBQ,Pop,Enduring,Bamboozle,1,PS4,
2021-01-31,Ghostface,1928,,3,26266,0,Chewed Pen,Olsen's Address Book,BBQ,Pop,Enduring,Bamboozle,1,PS4,
2021-01-31,Legion,1946,,1,28400,0,Irisdescent Button,Stolen Sketch Pad,BBQ,Thanatophobia,Ruin,Undying,1,PS4,
2021-01-31,Ghostface,2003,,2,25945,0,Chewed Pen,Olsen's Address Book,BBQ,Pop,Enduring,Bamboozle,0,PS4,
2021-01-31,Nurse,2154,,0,15242,0,Matchbox,Ataxic Respiration,NOED,Whispers,Discordance,Shadowborn,1,PS4,
2021-01-31,Spirit,2259,,4,27532,0,Father's Glasses,Yakuyoke Amulet,Infectious,Predator,Surge,Sloppy,0,PS4,
2021-01-31,Hag,2317,,4,31400,0,Rusty Shackles,Dried Cicada,Pop,NOED,Corrupt,STBFL,0,PS4,
2021-01-31,Trapper,2337,,4,32000,0,Iridescent Stone,Stitched Bag,Surge,NOED,Corrupt,Blood Warden,0,PS4,
2021-02-01,Ghostface,1119,,2,24126,0,Chewed Pen,Olsen's Address Book,BBQ,Pop,Enduring,Bamboozle,1,PS4,
2021-02-01,Ghostface,1137,,2,22616,0,Chewed Pen,Driver's License,BBQ,Pop,Enduring,Bamboozle,1,PS4,
2021-02-01,Ghostface,1648,,3,25577,0,Chewed Pen,Driver's License,BBQ,Pop,Oppression,Bamboozle,1,PS4,
2021-02-01,Ghostface,1704,,0,16806,0,Chewed Pen,Victim's Detailed Routine,BBQ,Pop,Discordance,Bamboozle,1,PS4,
2021-02-01,Ghostface,1717,,1,15317,0,Chewed Pen,Olsen's Address Book,BBQ,Surge,Enduring,Bamboozle,0,PS4,
2021-02-02,Blight,22,,2,20418,0,Compound 21,Adrenaline Booster,Tinkerer,Dragon's Grip,Oppression,Devour,1,PS4,
2021-02-02,Legion,107,,4,30900,0,Iridescent Button,Stolen Sketch Pad,BBQ,Thanatophobia,Ruin,Undying,1,PS4,
2021-02-02,Ghostface,839,,0,18007,0,Chewed Pen,Olsen's Address Book,Nurse,Surge,Discordance,Sloppy,1,PS4,
2021-02-02,Ghostface,905,,4,31200,0,Chewed Pen,Olsen's Address Book,Nurse,Surge,Discordance,Sloppy,1,PS4,
2021-02-02,Ghostface,923,,3,22002,0,Chewed Pen,Olsen's Address Book,Nurse,Surge,Discordance,Sloppy,1,PS4,
2021-02-02,Ghostface,1015,,3,23682,0,Chewed Pen,Olsen's Address Book,Nurse,Surge,Discordance,Sloppy,1,PS4,
2021-02-02,Ghostface,1036,,4,32000,0,Chewed Pen,Olsen's Address Book,Nurse,Surge,Discordance,Sloppy,1,PS4,
2021-02-02,Ghostface,1314,,3,30252,0,Chewed Pen,Olsen's Address Book,Nurse,Surge,Discordance,Sloppy,1,PS4,
2021-02-02,Ghostface,1334,,1,17032,0,Chewed Pen,Olsen's Address Book,Nurse,Surge,Discordance,Sloppy,0,PS4,
2021-02-02,Ghostface,1458,,1,27000,0,Chewed Pen,Olsen's Address Book,Nurse,Surge,Discordance,Sloppy,1,PS4,
2021-02-02,Ghostface,1520,,4,31900,0,Chewed Pen,Olsen's Address Book,Nurse,Surge,Discordance,Sloppy,1,PS4,
2021-02-03,Hag,155,,3,31200,0,Rusty Shackles,Dried Cicada,Pop,NOED,Corrupt,STBFL,1,PS4,
2021-02-03,Ghostface,1606,,1,19916,0,Chewed Pen,Olsen's Address Book,Nurse,Surge,Discordance,Sloppy,0,PS4,
2021-02-03,Ghostface,1623,,1,19009,0,Chewed Pen,Olsen's Address Book,Nurse,Surge,Discordance,Sloppy,0,PS4,
2021-02-03,Ghostface,1638,,3,25072,1,Chewed Pen,Olsen's Address Book,BBQ,Surge,Discordance,Sloppy,0,PS4,
2021-02-03,Ghostface,1655,,0,22823,0,Chewed Pen,Olsen's Address Book,BBQ,Surge,Enduring,Brutal,0,PS4,
2021-02-03,Freddy,1713,,2,22036,0,Prototype Claws,Swing Chains,BBQ,Pop,Enduring,Spirit Fury,0,PS4,
2021-02-04,Ghostface,1111,,4,28254,0,Chewed Pen,Olsen's Address Book,BBQ,Surge,Nurse,Sloppy,0,PS4,
2021-02-04,Ghostface,1129,,2,24931,1,Chewed Pen,Olsen's Address Book,BBQ,Surge,Nurse,Sloppy,1,PS4,
2021-02-04,Ghostface,1320,,4,31200,0,Chewed Pen,Olsen's Address Book,BBQ,Surge,Discordance,Devour,0,PS4,
2021-02-04,Ghostface,1342,,2,20643,0,Chewed Pen,Olsen's Address Book,BBQ,Surge,Discordance,Unrelenting,0,PS4,
2021-02-05,Ghostface,1112,,2,28925,0,Chewed Pen,Olsen's Address Book,BBQ,Surge,Discordance,Bamboozle,1,PS4,
2021-02-05,Pig,1205,,3,22768,0,Combat Straps,Video Tape,Monitor,Whispers,BBQ,Enduring,1,PS4,
2021-02-05,Pig,1217,,1,15123,0,Combat Straps,Video Tape,Monitor,Whispers,BBQ,Enduring,1,PS4,
2021-02-05,Pig,1233,,2,13935,0,Combat Straps,Video Tape,Monitor,Whispers,BBQ,Enduring,1,PS4,
2021-02-05,Ghostface,1309,,0,24302,0,Chewed Pen,Olsen's Address Book,BBQ,Surge,Discordance,Bamboozle,1,PS4,
2021-02-05,Ghostface,1352,,2,23572,1,Chewed Pen,Olsen's Address Book,BBQ,Surge,Nurse,Sloppy,1,PS4,
2021-02-05,Ghostface,1419,,4,31900,0,Chewed Pen,Olsen's Address Book,BBQ,Surge,Nurse,Sloppy,1,PS4,
2021-02-05,Ghostface,1438,,1,24152,0,Walleyes Matchbook,Olsen's Address Book,BBQ,Surge,Enduring,Spirit Fury,1,PS4,
2021-02-05,Ghostface,1455,,0,21753,0,Chewed Pen,Olsen's Address Book,BBQ,Surge,Enduring,Spirit Fury,1,PS4,
2021-02-05,Ghostface,1512,,4,30060,0,Chewed Pen,Olsen's Address Book,BBQ,Surge,Nurse,Thanatophobia,1,PS4,
2021-02-05,Ghostface,1543,,4,32000,0,Chewed Pen,Olsen's Address Book,BBQ,Surge,Discordance,Sloppy,1,PS4,
2021-02-05,Ghostface,1608,,1,18261,0,Chewed Pen,Olsen's Address Book,BBQ,Surge,Ruin,Undying,1,PS4,
2021-02-05,Ghostface,1634,,4,26963,0,Chewed Pen,Olsen's Address Book,BBQ,Discordance,Ruin,Undying,1,PS4,
2021-02-05,Ghostface,1656,,3,27409,0,Chewed Pen,Olsen's Address Book,BBQ,Discordance,Ruin,Undying,1,PS4,
2021-02-06,Ghostface,256,,4,31400,0,Chewed Pen,Olsen's Address Book,BBQ,Discordance,Ruin,Undying,1,PS4,
2021-02-06,Ghostface,328,,4,28750,0,Chewed Pen,Olsen's Address Book,BBQ,Discordance,Ruin,Undying,1,PS4,
2021-02-06,Ghostface,349,,4,31300,0,Chewed Pen,Olsen's Address Book,BBQ,Discordance,Ruin,Undying,1,PS4,
2021-02-06,Ghostface,624,,1,25747,0,Chewed Pen,Olsen's Address Book,BBQ,Discordance,Ruin,Undying,1,PS4,
2021-02-06,Ghostface,644,,1,27100,0,Chewed Pen,Olsen's Address Book,BBQ,Discordance,Ruin,Undying,1,PS4,
2021-02-07,Ghostface,32,,4,29829,0,Chewed Pen,Olsen's Address Book,BBQ,Discordance,Ruin,Undying,1,PS4,
2021-02-07,Ghostface,52,,3,28090,0,Chewed Pen,Olsen's Address Book,BBQ,Discordance,Ruin,Undying,1,PS4,
2021-02-08,Ghostface,303,,4,31000,0,Chewed Pen,Olsen's Address Book,BBQ,Discordance,Ruin,Undying,1,PS4,
2021-02-08,Ghostface,333,,4,31900,0,Chewed Pen,Olsen's Address Book,BBQ,Discordance,Ruin,Undying,0,PS4,
2021-02-08,Trapper,1058,,4,31145,0,Iridescent Stone,Stitched Bag,Surge,Corrupt,NOED,Blood Warden,1,PS4,
2021-02-09,Ghostface,821,,4,22479,0,Chewed Pen,Olsen's Address Book,BBQ,Discordance,Ruin,Undying,0,PS4,
2021-02-09,Ghostface,845,,4,32000,0,Chewed Pen,Olsen's Address Book,BBQ,Discordance,Ruin,Undying,1,PS4,
2021-02-09,Ghostface,906,,2,27581,0,Chewed Pen,Olsen's Address Book,BBQ,Discordance,Ruin,Undying,1,PS4,
2021-02-09,Ghostface,921,,0,19879,0,Chewed Pen,Olsen's Address Book,BBQ,Discordance,Ruin,Undying,1,PS4,
2021-02-09,Ghostface,804,,0,17354,0,Chewed Pen,Olsen's Address Book,BBQ,Discordance,Ruin,Undying,1,PS4,
2021-02-09,Ghostface,1056,,4,32000,0,Chewed Pen,Olsen's Address Book,BBQ,Discordance,Nurse,Surge,1,PS4,
2021-02-09,Ghostface,1117,,4,31758,0,Chewed Pen,Olsen's Address Book,BBQ,Discordance,Nurse,Surge,1,PS4,
2021-02-09,Ghostface,1135,,1,20667,0,Chewed Pen,Olsen's Address Book,BBQ,Discordance,Nurse,Surge,1,PS4,
2021-02-09,Ghostface,1241,,4,29980,0,Chewed Pen,Olsen's Address Book,BBQ,Thrill,Devour,Undying,1,PS4,
2021-02-09,Ghostface,1252,,4,23235,0,Chewed Pen,Olsen's Address Book,BBQ,Thrill,Devour,Undying,1,PS4,
2021-02-09,Ghostface,1312,,3,20233,0,Chewed Pen,Olsen's Address Book,BBQ,Thrill,Devour,Undying,1,PS4,
2021-02-09,Ghostface,1328,,0,17023,0,Chewed Pen,Olsen's Address Book,BBQ,Thrill,Devour,Undying,1,PS4,
2021-02-09,Ghostface,1346,,3,24460,0,Chewed Pen,Olsen's Address Book,BBQ,Thrill,Devour,Undying,1,PS4,
2021-02-09,Ghostface,1404,,0,20732,0,Chewed Pen,Olsen's Address Book,BBQ,Surge,Nurse,Thanatophobia,1,PS4,
2021-02-09,Ghostface,1427,,1,23452,0,Chewed Pen,Olsen's Address Book,BBQ,Make Your Choice,Devour,Undying,1,PS4,
2021-02-09,Ghostface,1731,,0,21236,0,Chewed Pen,Olsen's Address Book,BBQ,Pop,Whispers,Nurse,1,PS4,
2021-02-09,Pig,1752,,1,17485,0,Combat Straps,Video Tape,Monitor,Whispers,BBQ,Pop,0,PS4,
2021-02-09,Ghostface,2048,,3,21606,0,Chewed Pen,Olsen's Address Book,BBQ,Pop,Whispers,Nurse,0,PS4,
2021-02-09,Huntress,2108,,3,21731,0,Braided Belt,Coiled Braid,Iron Maiden,Pop,Discordance,Nurse,0,PS4,
2021-02-09,Ghostface,2135,,4,31700,0,Chewed Pen,Olsen's Address Book,BBQ,Pop,Surge,Discordance,0,PS4,
2021-02-10,Ghostface,232,,2,24024,1,Chewed Pen,Olsen's Address Book,BBQ,Pop,Surge,Discordance,1,PS4,
2021-02-10,Ghostface,242,,4,17441,0,Chewed Pen,Olsen's Address Book,BBQ,Pop,Surge,Discordance,1,PS4,
2021-02-10,Ghostface,1107,,4,31106,0,Chewed Pen,Olsen's Address Book,BBQ,Pop,Surge,Discordance,1,PS4,
2021-02-10,Ghostface,1706,,3,25583,1,Chewed Pen,Driver's License,BBQ,Pop,Surge,Discordance,1,PS4,
2021-02-10,Ghostface,1724,,3,22005,0,Walleyes Matchbook,Driver's License,BBQ,Pop,Surge,Discordance,1,PS4,
2021-02-10,Ghostface,2137,,3,23756,0,Walleyes Matchbook,Driver's License,BBQ,Pop,Surge,Discordance,1,PS4,
2021-02-10,Ghostface,2152,,3,19682,0,Walleyes Matchbook,Driver's License,BBQ,Pop,Surge,Discordance,1,PS4,
2021-02-10,Ghostface,2209,,4,31058,0,Walleyes Matchbook,Driver's License,BBQ,Pop,Surge,Discordance,1,PS4,
2021-02-10,Ghostface,2232,,0,23450,0,Walleyes Matchbook,Driver's License,BBQ,Pop,Surge,Discordance,1,PS4,
2021-02-11,Spirit,231,,3,28275,0,Bloody Hair Brooch,Rin's Broken Watch,BBQ,Pop,Surge,Stridor,1,PS4,
2021-02-11,Legion,251,,3,23947,0,Mural Sketch,Stolen Sketch Pad,BBQ,Pop,Surge,Discordance,1,PS4,
2021-02-11,Doctor,307,,0,24871,0,Iridescent King,HIgh Stimulus Electrode,Enduring,Brutal,Surge,Sloppy,1,PS4,
2021-02-11,Spirit,325,,2,22562,0,Father's Glasses,Yakuyoke Amulet,BBQ,Pop,Surge,Sloppy,1,PS4,
2021-02-11,Spirit,1121,,3,31200,0,Bloody Hair Brooch,Rin's Broken Watch,BBQ,Pop,Surge,Predator,1,PS4,
2021-02-11,Spirit,1531,,3,31100,0,Bloody Hair Brooch,Rin's Broken Watch,BBQ,Pop,Surge,Predator,1,PS4,
2021-02-11,Spirit,1549,,2,29323,0,Bloody Hair Brooch,Rin's Broken Watch,BBQ,Pop,Surge,Spies from the Shadows,1,PS4,
2021-02-11,Pig,1631,,3,27270,0,Combat Straps,Video Tape,Monitor,Whispers,Lightborn,Nurse,1,PS4,
2021-02-11,Spirit,2102,,4,29776,0,Bloody Hair Brooch,Rin's Broken Watch,BBQ,Pop,Surge,Discordance,1,PS4,
2021-02-11,Spirit,2036,,0,21191,0,Bloody Hair Brooch,Rin's Broken Watch,BBQ,Pop,Surge,Discordance,1,PS4,
2021-02-12,Huntress,50,,4,30991,0,Braided Belt,Coiled Braid,Nurse,Discordance,Pop,Iron Maiden,1,PS4,
2021-02-12,Legion,109,,1,24198,0,Mural Sketch,Stolen Sketch Pad,BBQ,Pop,Surge,Discordance,1,PS4,
2021-02-12,Ghostface,1306,,2,25061,0,Chewed Pen,Olsen's Address Book,BBQ,Enduring,Thrill,I'm All Ears,1,PS4,
2021-02-13,Ghostface,155,,1,22529,0,Chewed Pen,Olsen's Address Book,BBQ,Enduring,STBFL,I'm All Ears,1,PS4,
2021-02-13,Ghostface,212,,2,24095,0,Chewed Pen,Olsen's Address Book,BBQ,Enduring,STBFL,I'm All Ears,1,PS4,
2021-02-13,Ghostface,234,,4,25987,0,Chewed Pen,Olsen's Address Book,BBQ,Enduring,STBFL,I'm All Ears,1,PS4,
2021-02-13,Ghostface,250,,0,21319,0,Chewed Pen,Olsen's Address Book,BBQ,Enduring,STBFL,I'm All Ears,1,PS4,
2021-02-13,Spirit,546,,4,32000,0,Bloody Hair Brooch,Rin's Broken Watch,BBQ,Pop,Surge,Discordance,1,PS4,
2021-02-13,Freddy,612,,4,30400,0,Outdoor Rope,Swing Chains,BBQ,Pop,Surge,Discordance,1,PS4,
2021-02-13,Freddy,630,,3,26612,0,Outdoor Rope,Swing Chains,BBQ,Pop,Surge,Discordance,1,PS4,
2021-02-14,Ghostface,1624,,2,20606,1,Chewed Pen,Olsen's Address Book,I'm All Ears,Enduring,Thrilling,NOED,1,PS4,
2021-02-14,Pig,1559,,4,22115,0,Tampered Timer,Jigsaw's Sketch,Monitor,Whispers,BBQ,Enduring,1,PS4,
2021-02-14,Freddy,318,,3,28262,0,Outdoor Rope,Red Paint Brush,BBQ,Pop,Surge,Discordance,1,PS4,
2021-02-14,Pig,1450,,3,24441,0,Combat Straps,Video Tape,Monitor,Whispers,BBQ,Pop,1,PS4,
2021-02-14,Freddy,1427,,2,26116,0,Outdoor Rope,Red Paint Brush,BBQ,Pop,Surge,Discordance,1,PS4,
2021-02-14,Spirit,1509,,0,22796,0,Bloody Hair Brooch,Rin's Broken Watch,BBQ,Pop,Surge,Discordance,1,PS4,
2021-02-17,Ghostface,1503,,4,30554,0,Walleyes Matchbook,Cheap Cologne,I'm All Ears,Sloppy,Bamboozle,None,1,PS4,
2021-02-17,Ghostface,1522,,0,22146,0,Walleyes Matchbook,Olsen's Address Book,I'm All Ears,Sloppy,Bamboozle,Make Your Choice,1,PS4,
2021-02-17,Ghostface,1540,,0,17429,0,Walleyes Matchbook,Olsen's Address Book,Make Your Choice,I'm All Ears,Nemesis,Furtive Chase,1,PS4,
2021-02-17,Ghostface,1558,,1,19734,0,Chewed Pen,Olsen's Address Book,Bamboozle,I'm All Ears,Sloppy,Thrilling,1,PS4,
2021-02-17,Ghostface,1811,,3,30433,0,Chewed Pen,Olsen's Address Book,Bamboozle,I'm All Ears,Sloppy,NOED,1,PS4,
2021-02-17,Ghostface,1831,,2,22181,0,Chewed Pen,Olsen's Address Book,Bamboozle,I'm All Ears,Sloppy,NOED,1,PS4,
2021-02-17,Ghostface,1857,,1,30414,0,Walleyes Matchbook,Olsen's Address Book,Bamboozle,I'm All Ears,Sloppy,NOED,1,PS4,
2021-02-17,Ghostface,2002,,3,21706,0,Walleyes Matchbook,Olsen's Address Book,Bamboozle,I'm All Ears,Sloppy,NOED,0,PS4,
2021-02-17,Ghostface,2030,,1,19358,0,Walleyes Matchbook,Victim's Detailed Routine,Bamboozle,I'm All Ears,Sloppy,NOED,0,PS4,
2021-02-17,Ghostface,2330,,3,13305,0,Walleyes Matchbook,Cheap Cologne,Bamboozle,I'm All Ears,Sloppy,NOED,0,PS4,
2021-02-17,Ghostface,2342,,1,22483,2,Walleyes Matchbook,Cheap Cologne,Bamboozle,I'm All Ears,Sloppy,NOED,0,PS4,
2021-02-17,Ghostface,2359,,1,19625,0,Walleyes Matchbook,Cheap Cologne,Bamboozle,I'm All Ears,Sloppy,NOED,0,PS4,
2021-02-18,Ghostface,13,,3,23220,0,Walleyes Matchbook,Cheap Cologne,Bamboozle,I'm All Ears,Sloppy,NOED,0,PS4,
2021-02-18,Ghostface,100,,3,29946,0,Chewed Pen,Olsen's Address Book,Surge,I'm All Ears,Sloppy,NOED,1,PS4,
2021-02-18,Ghostface,150,,3,28194,0,Chewed Pen,Olsen's Address Book,Surge,I'm All Ears,Sloppy,NOED,1,PS4,
2021-02-18,Ghostface,207,,4,24898,1,Chewed Pen,Olsen's Address Book,Surge,I'm All Ears,Sloppy,NOED,1,PS4,
2021-02-18,Ghostface,228,,2,19279,0,Chewed Pen,Olsen's Address Book,Surge,I'm All Ears,Sloppy,NOED,1,PS4,
2021-02-18,Ghostface,348,,3,26881,0,Chewed Pen,Walleyes Matchbook,Surge,I'm All Ears,Sloppy,NOED,1,PS4,
2021-02-18,Ghostface,404,,2,19896,0,Chewed Pen,Walleyes Matchbook,Surge,I'm All Ears,Sloppy,NOED,1,PS4,
2021-02-18,Ghostface,436,,4,32000,0,Chewed Pen,Walleyes Matchbook,Surge,I'm All Ears,Sloppy,NOED,1,PS4,
2021-02-18,Ghostface,1938,,3,21779,0,Chewed Pen,Olsen's Address Book,Surge,I'm All Ears,Sloppy,NOED,1,PS4,
2021-02-18,Ghostface,2004,,2,19425,0,Chewed Pen,Olsen's Address Book,Surge,I'm All Ears,Sloppy,NOED,1,PS4,
2021-02-19,Ghostface,353,,1,26442,0,Walleyes Matchbook,Cheap Cologne,Surge,I'm All Ears,Whispers,NOED,1,PS4,
2021-02-19,Legion,421,,4,31115,1,Stolen Sketchbook,Etched Ruler,BBQ,Pop,Surge,Discordance,1,PS4,
2021-02-19,Ghostface,453,,2,24828,0,Chewed Pen,Olsen's Address Book,BBQ,Pop,Surge,Discordance,1,PS4,
2021-02-19,Ghostface,508,,2,27479,0,Walleyes Matchbook,Olsen's Address Book,BBQ,Pop,Surge,Discordance,1,PS4,
2021-02-19,Pig,525,,4,20992,0,Combat Straps,Last Will,Monitor,Whispers,BBQ,Pop,1,PS4,
2021-02-19,Pig,637,,2,22030,0,Combat Straps,Last Will,Monitor,Whispers,BBQ,Pop,1,PS4,
2021-02-19,Spirit,703,,3,30017,0,Bloody Hair Brooch,Rin's Broken Watch,BBQ,Pop,Surge,Discordance,1,PS4,
2021-02-19,Spirit,806,,4,29233,2,Bloody Hair Brooch,Rin's Broken Watch,BBQ,Pop,Surge,Discordance,1,PS4,
2021-02-19,Spirit,834,,0,23215,0,Bloody Hair Brooch,Rin's Broken Watch,BBQ,Pop,Surge,Discordance,1,PS4,
2021-02-19,Ghostface,1357,,3,31198,0,Chewed Pen,Olsen's Address Book,I'm All Ears,Surge,Sloppy,NOED,1,PS4,
2021-02-19,Spirit,1424,,4,32000,0,Bloody Hair Brooch,Rin's Broken Watch,BBQ,Pop,Surge,Discordance,1,PS4,
2021-02-19,Spirit,1447,,0,24378,0,Bloody Hair Brooch,Rin's Broken Watch,BBQ,Pop,Surge,Discordance,1,PS4,
2021-02-19,Ghostface,1512,,2,27561,0,Chewed Pen,Olsen's Address Book,I'm All Ears,Surge,NOED,Discordance,1,PS4,
2021-02-19,Ghostface,1530,,2,27253,0,Chewed Pen,Olsen's Address Book,I'm All Ears,Surge,NOED,Discordance,1,PS4,
2021-02-19,Ghostface,1550,,4,32000,0,Chewed Pen,Olsen's Address Book,STBFL,Sloppy,Sloppy,Discordance,1,PS4,
2021-02-19,Pig,1807,,2,26557,0,Combat Straps,Last Will,Monitor,Whispers,BBQ,Pop,1,PS4,
2021-02-19,Ghostface,1830,,2,27048,0,Chewed Pen,Olsen's Address Book,Sloppy,Surge,Sloppy,Discordance,0,PS4,
2021-02-19,Ghostface,1135,,4,22922,0,Chewed Pen,Olsen's Address Book,Sloppy,Surge,Sloppy,Discordance,0,PS4,
2021-02-20,Pig,3,,4,19684,0,Combat Straps,John's Medical File,BBQ,STBFL,Surge,Pop,0,PS4,
2021-02-20,Ghostface,22,,4,29161,0,Chewed Pen,Olsen's Address Book,Sloppy,Surge,Sloppy,Discordance,0,PS4,
2021-02-20,Ghostface,53,,1,26550,0,Chewed Pen,Olsen's Address Book,Sloppy,Surge,Sloppy,Discordance,0,PS4,
2021-02-20,Spirit,201,,3,28657,0,Bloody Hair Brooch,Rin's Broken Watch,BBQ,Pop,Surge,Discordance,0,PS4,
2021-02-20,Spirit,218,,4,32000,0,Bloody Hair Brooch,Rin's Broken Watch,BBQ,Pop,Surge,Discordance,0,PS4,
2021-02-20,Spirit,234,,2,28839,0,Bloody Hair Brooch,Rin's Broken Watch,BBQ,Pop,Surge,Discordance,0,PS4,
2021-02-20,Ghostface,520,,NA,NA,1,Chewed Pen,Olsen's Address Book,NOED,Surge,Pop,Discordance,0,PS4,obvious hacker
2021-02-20,Ghostface,538,,NA,NA,1,Chewed Pen,Olsen's Address Book,NOED,Surge,Pop,Discordance,0,PS4,obvious hacker
2021-02-20,Ghostface,601,,4,22672,1,Chewed Pen,Walleyes Matchbook,NOED,Surge,Pop,Discordance,0,PS4,
